Sample ID,Type,Standoff,Spacing,AI,AV
DG-PCB001,both-rad,7.5,step,-6.9e-10,-20.0
DG-PCB001,both-rad,7.5,step,-6.46e-10,-19.5
DG-PCB001,both-rad,7.5,step,-6.28e-10,-19.0
DG-PCB001,both-rad,7.5,step,-5.97e-10,-18.5
DG-PCB001,both-rad,7.5,step,-5.81e-10,-18.0
DG-PCB001,both-rad,7.5,step,-5.47e-10,-17.5
DG-PCB001,both-rad,7.5,step,-5.2e-10,-17.0
DG-PCB001,both-rad,7.5,step,-5e-10,-16.5
DG-PCB001,both-rad,7.5,step,-4.85e-10,-16.0
DG-PCB001,both-rad,7.5,step,-4.58e-10,-15.5
DG-PCB001,both-rad,7.5,step,-4.32e-10,-15.0
DG-PCB001,both-rad,7.5,step,-4.12e-10,-14.5
DG-PCB001,both-rad,7.5,step,-3.88e-10,-14.0
DG-PCB001,both-rad,7.5,step,-3.74e-10,-13.5
DG-PCB001,both-rad,7.5,step,-3.54e-10,-13.0
DG-PCB001,both-rad,7.5,step,-3.38e-10,-12.5
DG-PCB001,both-rad,7.5,step,-3.18e-10,-12.0
DG-PCB001,both-rad,7.5,step,-3e-10,-11.5
DG-PCB001,both-rad,7.5,step,-2.79e-10,-11.0
DG-PCB001,both-rad,7.5,step,-2.61e-10,-10.5
DG-PCB001,both-rad,7.5,step,-2.37e-10,-10.0
DG-PCB001,both-rad,7.5,step,-2.17e-10,-9.5
DG-PCB001,both-rad,7.5,step,-2.09e-10,-9.0
DG-PCB001,both-rad,7.5,step,-1.87e-10,-8.5
DG-PCB001,both-rad,7.5,step,-1.7e-10,-8.0
DG-PCB001,both-rad,7.5,step,-1.61e-10,-7.5
DG-PCB001,both-rad,7.5,step,-1.44e-10,-7.0
DG-PCB001,both-rad,7.5,step,-1.32e-10,-6.5
DG-PCB001,both-rad,7.5,step,-1.06e-10,-6.0
DG-PCB001,both-rad,7.5,step,-8.85e-11,-5.5
DG-PCB001,both-rad,7.5,step,-7.13e-11,-5.0
DG-PCB001,both-rad,7.5,step,-5.5e-11,-4.5
DG-PCB001,both-rad,7.5,step,-4.43e-11,-4.0
DG-PCB001,both-rad,7.5,step,-3.46e-11,-3.5
DG-PCB001,both-rad,7.5,step,-2.15e-11,-3.0
DG-PCB001,both-rad,7.5,step,-3.61e-12,-2.5
DG-PCB001,both-rad,7.5,step,1.56569e-11,-2.0
DG-PCB001,both-rad,7.5,step,3.46708e-11,-1.5
DG-PCB001,both-rad,7.5,step,5.0025e-11,-0.999
DG-PCB001,both-rad,7.5,step,5.63349e-11,-0.499
DG-PCB001,both-rad,7.5,step,7.55592e-11,0.000970602
DG-PCB001,both-rad,7.5,step,9.56247e-11,0.5004949
DG-PCB001,both-rad,7.5,step,1.079081e-10,1.0006
DG-PCB001,both-rad,7.5,step,1.213272e-10,1.5013
DG-PCB001,both-rad,7.5,step,1.315072e-10,2.0015
DG-PCB001,both-rad,7.5,step,1.519934e-10,2.4985
DG-PCB001,both-rad,7.5,step,1.641926e-10,2.9986
DG-PCB001,both-rad,7.5,step,1.707549e-10,3.499
DG-PCB001,both-rad,7.5,step,1.853519e-10,3.999
DG-PCB001,both-rad,7.5,step,2.078152e-10,4.4994
DG-PCB001,both-rad,7.5,step,2.207296e-10,4.9999
DG-PCB001,both-rad,7.5,step,2.367568e-10,5.5
DG-PCB001,both-rad,7.5,step,2.622489e-10,6.0003
DG-PCB001,both-rad,7.5,step,2.682223e-10,6.5
DG-PCB001,both-rad,7.5,step,2.927048e-10,7.0002
DG-PCB001,both-rad,7.5,step,3.033896e-10,7.5006
DG-PCB001,both-rad,7.5,step,3.162619e-10,8.0011
DG-PCB001,both-rad,7.5,step,3.361592e-10,8.5013
DG-PCB001,both-rad,7.5,step,3.560985e-10,9.0014
DG-PCB001,both-rad,7.5,step,3.746077e-10,9.5018
DG-PCB001,both-rad,7.5,step,3.893729e-10,10.0021
DG-PCB001,both-rad,7.5,step,4.030023e-10,10.5022
DG-PCB001,both-rad,7.5,step,4.136451e-10,11.0027
DG-PCB001,both-rad,7.5,step,4.303453e-10,11.5031
DG-PCB001,both-rad,7.5,step,4.471297e-10,12.0033
DG-PCB001,both-rad,7.5,step,4.621474e-10,12.5034
